Published,Headlines
2019-03-02T00:22:38+0000,"Facing criticism for making regional theaters cancel productions of “To Kill a Mockingbird,” Scott Rudin said he would let them go on, using the new Aaron Sorkin script."
2019-03-02T17:00:12+0000,"Panelists at the conference, convened by The New York Times, discussed the opportunities and risks that are emerging as the use of artificial intelligence accelerates."
2019-03-03T18:45:36+0000,"Todd Douglas Miller’s new documentary, “Apollo 11,” is one of the most rousing movies ever made about NASA and space. Here are more films to explore."
2019-03-01T23:06:03+0000,"At the NAACP Legal Defense and Educational Fund, she was an organizer in the civil rights struggle, in one case escorting a brave 6-year-old to school."
2019-03-01T15:57:46+0000,"Wing Cmdr. Abhinandan Varthaman was shot down, rescued from an angry crowd, and then interrogated, bound at first, by officers he called “thorough gentlemen.”"
2019-03-01T23:21:55+0000,"As their conservative brethren celebrate, churches like Foundry United Methodist in Washington are faced with difficult decisions on whether to remain in their denomination."
2019-03-03T23:41:16+0000,Tighani Jones died after he was trapped in the blaze; six adults and children survived the predawn Sunday fire in Springfield Gardens.
2019-03-01T02:45:06+0000,Look! Up on the stage! It’s a show with good intentions (and a “Dear Evan Hansen”-like setup) that can’t rise above its cartoonish plot.
2019-03-01T15:31:30+0000,"Not just any tattoo, but a “stick and poke” one in a private Brooklyn studio."
2019-03-01T08:43:14+0000,"The choreographer has recently made an abrupt change in creative direction — back to ballet. In “Full on Forsythe,” Boston Ballet will show off his new moves."
2019-03-01T17:22:35+0000,"At a pitch night in SoHo, female entrepreneurs pitch female venture capitalists."
2019-03-02T15:40:52+0000,"Walid Fitaihi, a dual citizen, has been imprisoned without charges. His case may add to the backlash over the killing of Jamal Khashoggi."
2019-03-02T13:38:18+0000,A Russian who shared the 2000 physics prize with Americans after they had engaged in a Cold War “laser race.” The work led to DVDs and cellphones.
2019-03-03T20:00:01+0000,A reader laments that her friend died after an insurance company refused to pay for the medication she needed.
2019-03-03T05:05:06+0000,"The couple met in 2012 through a mutual friend while living in New York. Two years later, they had a chance meeting at a concert in Houston."
2019-03-01T18:03:07+0000,Mr. Li walked a fine line between scholarship and serving the Communist Party as he sought the truth about his country’s distant past.
2019-03-01T17:55:58+0000,A handful of criminal prosecutions have stalled because DNA tests cannot distinguish between suspects who are twins. Then scientists decided to create one.
2019-03-01T19:11:28+0000,"Yukultji Napangati’s multilayered cartographic canvases; Erik van Lieshout’s show, awash in beer; and “The World According to …,” a group show anchored by a David Hockney video installation."
2019-03-02T14:00:00+0000,The couple met through Craigslist in March 2018. She was looking to get engaged at some point that year.
2019-03-03T12:33:37+0000,A legion of black models including Jourdan Dunn and Pat Cleveland — and music by Grace Jones — help the party along.
2019-03-03T05:05:06+0000,"The couple met in 2012 through a mutual friend while living in New York. Two years later, they had a chance meeting at a concert in Houston."
2019-03-03T20:00:01+0000,A reader laments that her friend died after an insurance company refused to pay for the medication she needed.
2019-03-02T15:48:00+0000,"Benjamin Netanyahu’s main argument for re-election is that Israel needs him. But with his campaign facing serious challenges, Israelis are asking if that’s true."
2019-03-02T00:21:44+0000,A captivating Kardashian narrative unfolded across television and social media. Why?
2019-03-02T10:00:01+0000,"The number of destination-worthy airport restaurants where travelers actually want to eat has been steadily growing in recent years. Now, San Francisco has upped the ante."
2019-03-03T21:31:02+0000,"March is getting off to a stormy start, with snow and frigid temperatures from the Rockies to the Northeast, trying the patience of a nation with winter fatigue."
2019-03-03T12:08:56+0000,"Women and girls will be offered free tampons and other sanitary products, officials said, calling the move “a big step forward” in the effort to end period poverty."
2019-03-03T16:55:22+0000,"Consumers, not foreigners, are paying the Trump tariffs."
2019-03-01T18:20:49+0000,"The eminent maestro Herbert Blomstedt led the orchestra in glowing, winning performances of Grieg and Dvorak."
2019-03-01T20:16:10+0000,Readers criticize the pharmaceutical industry for reaping high profits by charging much more for prescription drugs in the United States than elsewhere in the world.
2019-03-01T18:05:52+0000,"The promo for the Martin Scorsese-Netflix film doesn’t include any scenes. It’s still a standout, unlike “Finding Steve McQueen” or “Pokémon Detective Pikachu.”"
2019-03-01T10:42:54+0000,"Diplomats were optimistic on Friday that Pakistan and India were stepping back from the brink. But thousands of troops remain dug in at the border, and gunfire is a regular occurrence."
2019-03-02T10:00:06+0000,"Laguna Beach once attracted Hollywood stars like Bette Davis, Bing Crosby and Mary Pickford. Now it has a hotel that echoes those glamorous days with a definite 21st century twist."
2019-03-01T17:39:29+0000,"The public testimony was sleaze for the sake of pure partisan pleasure, not a serious attempt at uncovering lawbreaking."
2019-03-01T12:01:51+0000,"The Knicks rookie is blocking shots at a rate unseen since the days of Manute Bol. On a bad team, he’s a reason to keep watching."
2019-03-02T15:30:00+0000,"When you’re too tired, cook something simple."
2019-03-01T23:16:02+0000,"She spoke of “allegiance to a foreign country,” a phrase that her critics said invoked an anti-Semitic trope. Her spokesman called that an “inaccurate reading.”"
2019-03-01T10:00:02+0000,"Beacon, N.Y., became a destination for city dwellers looking to slow down. Old-timers want to keep the boom going, but the recent arrivals want development to stop where it is."
2019-03-01T20:50:51+0000,Yohji Yamamoto Fall RTW Collection.
2019-03-02T11:24:59+0000,Junya Watanabe RTW Collection.
2019-03-01T09:00:01+0000,"Despite Mr. Alam’s arrest for speaking out against his country’s government, Chobi Mela continues to showcase photography beyond the Western viewpoint."
2019-03-01T19:50:35+0000,"Marina Abramović, Cleaning the Mirror #1, 1995. Video by Marina Abramović; via Sean Kelly Gallery/Artist Rights Society (ARS), New York; Ryan Young for The New York Times"
2019-03-01T20:04:38+0000,"Richard Mosse, The Enclave, 2012-13. Video by Ryan Young for The New York Times"
2019-03-01T05:00:01+0000,"When manifesting a boyfriend, maybe don't start with the physical — or date the competition."
2019-03-02T00:29:19+0000,The Justice Department said it had found insufficient evidence to prove that Betty Shelby had willfully used unreasonable force against Terence Crutcher.
2019-03-02T14:00:04+0000,"The LinkedIn co-founder Reid Hoffman, speaking at The New York Times’s New Work Summit/Leading in the Age of A.I., said that tech companies, as they grow, should be held to a higher level of accountability."
2019-03-01T10:00:11+0000,"The measure, which is already facing headwinds, follows unsuccessful similar attempts by legislators in five other states."
2019-03-01T13:48:40+0000,The Dutch prosecutor’s office told Shell it was preparing criminal charges against the company over a $1.3 billion oil agreement in Nigeria in 2011.
2019-03-03T08:00:04+0000,"Nearly two years after he was challenged to win the league’s Most Valuable Player Award, the Bucks star may be on the verge of upending the Eastern Conference to do so."
2019-03-02T00:45:18+0000,What Mr. McCarry learned as a Cold War C.I.A. operative served him well as a writer. His fiction was compared to John le Carré’s.
2019-03-01T14:00:04+0000,A global tech conference in Barcelona was the latest battleground for the White House campaign against the Chinese technology giant.
2019-03-02T19:30:05+0000,"As Michael Cohen made clear, this is the land of the fraud and the home of the knave."
2019-03-03T13:00:05+0000,"Democrats won big in the 2018 midterm elections in Pennsylvania, but some wonder if they can win back the state from President Trump if the party veers too far left in 2020."
2019-03-03T17:53:34+0000,Akris RTW Collection.
2019-03-03T19:22:50+0000,Let us help you start your day.
2019-03-03T19:41:01+0000,"Perry’s “A Madea Family Funeral” had a strong $27 million debut, almost (but not quite) enough to beat “How to Train Your Dragon: The Hidden World.”"
2019-03-01T12:00:04+0000,"Mr. Inslee has made climate change and the environment his signature issues, though he has had mixed success in getting some ideas put into practice in his home state."
2019-03-01T10:42:00+0000,Here’s what you need to know.
2019-03-01T17:06:08+0000,"Alison Roman updates the classic with potatoes, lemon and handfuls of dill."
2019-03-01T18:05:52+0000,"The promo for the Martin Scorsese-Netflix film doesn’t include any scenes. It’s still a standout, unlike “Finding Steve McQueen” or “Pokémon Detective Pikachu.”"
2019-03-03T21:31:02+0000,"March is getting off to a stormy start, with snow and frigid temperatures from the Rockies to the Northeast, trying the patience of a nation with winter fatigue."
2019-03-03T12:08:56+0000,"Women and girls will be offered free tampons and other sanitary products, officials said, calling the move “a big step forward” in the effort to end period poverty."
2019-03-03T17:53:34+0000,Akris RTW Collection.
2019-03-03T19:22:50+0000,Let us help you start your day.
2019-03-03T13:00:05+0000,"Democrats won big in the 2018 midterm elections in Pennsylvania, but some wonder if they can win back the state from President Trump if the party veers too far left in 2020."
2019-03-03T19:41:01+0000,"Perry’s “A Madea Family Funeral” had a strong $27 million debut, almost (but not quite) enough to beat “How to Train Your Dragon: The Hidden World.”"
2019-03-01T18:20:49+0000,"The eminent maestro Herbert Blomstedt led the orchestra in glowing, winning performances of Grieg and Dvorak."
2019-03-01T20:16:10+0000,Readers criticize the pharmaceutical industry for reaping high profits by charging much more for prescription drugs in the United States than elsewhere in the world.
2019-03-01T19:38:27+0000,The Obama Foundation assures readers that the National Archives will preserve the records of the Obama administration and provide access.
2019-03-02T04:05:52+0000,"Quotation of the day for Saturday, March 2, 2019"
2019-03-02T11:24:59+0000,Junya Watanabe RTW Collection.
2019-03-03T17:00:03+0000,"Tech experts don’t necessarily agree about controlling the future of A.I. A conversation between David Gelles, Nellie Bowles and Cade Metz."
2019-03-02T21:49:28+0000,"Mr. Clark was killed in his grandmother’s backyard by officers responding to a vandalism complaint. For nearly a year, activists have demanded police accountability."
2019-03-03T06:00:10+0000,The first part of the much-anticipated Michael Jackson documentary airs on HBO. And “Good Girls” returns on NBC.
2019-03-01T17:00:11+0000,"Climate change is forcing cancellations of, and changes in, sled dog races in Alaska and Canada, including the most famous of them all."
2019-03-03T10:00:01+0000,"New titles to watch for in March, Toni Morrison’s new collection, Min Jin Lee on bell hooks and more."
2019-03-01T16:10:33+0000,"A judge says that as a prosecutor, Alexander Acosta broke the law to help a powerful man accused of abusing girls."
2019-03-03T14:15:34+0000,"The installations, scheduled this month, are set for the famed avenue that has been the site of weekly “Yellow Vest” economic-inequality protests."
2019-03-02T00:38:13+0000,"Finally, something worse than Donald Trump."
2019-03-01T20:43:29+0000,"Marina Abramović’s “Cleaning the Mirror #1,” 1995, a five-channel video installation, shows bones being washed and alludes to the killings in the Balkans at that time. Video by Marina Abramovic, via Sean Kelly Gallery/Artist Rights Society (ARS), ..."
2019-03-01T10:42:00+0000,Here’s what you need to know.
2019-03-01T10:00:07+0000,"The reporter Gray Chapman drew on her love of opossums, raccoons and skunks to explore the newest trend in unlikely influencers."
2019-03-01T06:01:00+0000,Is there a food you’re especially passionate about? Maybe one you’ve loved — or loathed — since childhood?
2019-03-01T07:00:00+0000,This word has appeared in 56 articles on NYTimes.com in the past year.
2019-03-01T23:25:18+0000,Esta semana en Cruzar la Frontera: la afirmación de Donald Trump sobre la violencia sexual contra mujeres migrantes ha ocurrido en algunos casos.
2019-03-02T06:17:30+0000,It’s been a busy week in American politics. Here are some of the stories you might have missed.
2019-03-01T17:06:08+0000,"Alison Roman updates the classic with potatoes, lemon and handfuls of dill."
2019-03-03T21:22:05+0000,Experimental schools like Hampshire College were once the cutting edge of academia. Now they’re struggling to stay open.
2019-03-01T20:43:29+0000,"Marina Abramović’s “Cleaning the Mirror #1,” 1995, a five-channel video installation, shows bones being washed and alludes to the killings in the Balkans at that time. Video by Marina Abramovic, via Sean Kelly Gallery/Artist Rights Society (ARS), ..."
2019-03-03T23:21:21+0000,"A move West came with dire warnings, but the reality is setting in that a James-led team might miss the playoffs."
2019-03-01T20:43:29+0000,"Marina Abramović’s “Cleaning the Mirror #1,” 1995, a five-channel video installation, shows bones being washed and alludes to the killings in the Balkans at that time. Video by Marina Abramovic, via Sean Kelly Gallery/Artist Rights Society (ARS), ..."
2019-03-01T23:09:27+0000,"Brands are giving lucrative endorsement deals to young children on YouTube and Instagram, raising questions about whether their young followers should be seeing that kind of marketing."
2019-03-02T18:00:00+0000,Readers discuss an ambitious 10-year plan to combat climate change introduced by Senator Ed Markey and Representative Alexandria Ocasio-Cortez.
2019-03-03T13:07:44+0000,"As pharmaceutical companies seek to profit from the curative wonders of human feces, doctors worry about new regulations, higher prices and patients attempting DIY cures."
2019-03-01T16:02:48+0000,The Mint Theater Company brought back Elizabeth Baker’s drama from 1913 as part of a project dedicated to the British playwright.
2019-03-01T17:28:20+0000,"The reception was mixed for the 2017 premiere of “Girls of the Golden West.” Now, with revisions, it has arrived in Europe at the Dutch National Opera."
2019-03-01T23:46:31+0000,"A suspect was arrested, accused of punching a conservative activist in the face. The assault revived a debate over tolerance of conservative views on college campuses."
2019-03-01T13:55:07+0000,Mr. Adams was slated to start a tour of Britain and Ireland on March 30. It was canceled without explanation
2019-03-01T20:50:23+0000,"After losing at least 90 games in each of the last four seasons, Cincinnati made ambitious trades, hired a new manager and added 10 new coaches."
2019-03-01T11:00:04+0000,"Couples often think that the person who is most financially literate should manage their money — yet research shows why, especially as partners age, that’s a problem."
2019-03-01T13:55:07+0000,Mr. Adams was slated to start a tour of Britain and Ireland on March 30. It was canceled without explanation
2019-03-01T20:50:23+0000,"After losing at least 90 games in each of the last four seasons, Cincinnati made ambitious trades, hired a new manager and added 10 new coaches."
2019-03-01T11:00:04+0000,"Couples often think that the person who is most financially literate should manage their money — yet research shows why, especially as partners age, that’s a problem."
2019-03-02T01:45:03+0000,"The authorities said they arrested a prosecutor the moment he was about to accept a $500,000 bribe to help a former rebel leader wanted by the United States."
2019-03-01T19:11:10+0000,"To the extent that economic historians can rampage, Rutger Bregman is on one — speaking truth to power in Switzerland and enraging Tucker Carlson."
2019-03-01T15:01:02+0000,A local newspaper announced it would phase out “Sir” as a form of address for letters to the editor. The response was not welcoming.
